                                  url1      url2
mfcc                          0.020939  0.000000
minard                        0.000000  0.025956
mining                        0.000000  0.051912
minutes                       0.020939  0.000000
models                        0.104693  0.000000
months                        0.000000  0.025956
moregot                       0.000000  0.025956
moreover                      0.000000  0.051912
motivation                    0.041877  0.000000
mougin                        0.000000  0.025956
movie                         0.020939  0.000000
muller                        0.000000  0.025956
multi                         0.020939  0.000000
multilingual                  0.000000  0.077868
multimedia                    0.230324  0.000000
multimediamultimedia          0.020939  0.000000
multiple                      0.000000  0.025956
musiceyes                     0.020939  0.000000
must                          0.000000  0.025956
national                      0.000000  0.155736
ncbi                          0.000000  0.103824
near                          0.020939  0.000000
needs                         0.000000  0.025956
negotiation                   0.000000  0.025956
nenadic                       0.000000  0.025956
nentidis                      0.000000  0.025956
neves                         0.000000  0.025956
new                           0.014898  0.018468
ngoc                          0.083754  0.000000
nice                          0.020939  0.000000
nih                           0.000000  0.103824
nist                          0.000000  0.025956
nlm                           0.000000  0.025956
non                           0.000000  0.051912
norwayyifan                   0.000000  0.025956
norwegian                     0.000000  0.025956
note                          0.020939  0.000000
notes                         0.041877  0.000000
number                        0.020939  0.000000
objective                     0.041877  0.000000
obtained                      0.000000  0.051912
october                       0.041877  0.000000
oliva                         0.041877  0.000000
one                           0.000000  0.025956
online                        0.041877  0.000000
open                          0.014898  0.092339
optimized                     0.020939  0.000000
optionally                    0.020939  0.000000
order                         0.020939  0.000000
org                           0.000000  0.051912
organization                  0.000000  0.025956
organize                      0.020939  0.000000
organized                     0.000000  0.025956
organizersmihai               0.020939  0.000000
orgsponsorsreport             0.000000  0.025956
orleans                       0.000000  0.025956
orsay                         0.000000  0.051912
others                        0.020939  0.000000
outputs                       0.020939  0.000000
page                          0.000000  0.025956
pages                         0.000000  0.051912
paliouras                     0.000000  0.025956
paper                         0.014898  0.018468
papers                        0.000000  0.181692
parikh                        0.020939  0.000000
paris                         0.000000  0.077868
park                          0.000000  0.025956
participants                  0.062816  0.000000
participate                   0.020939  0.000000
particular                    0.029796  0.018468
particularly                  0.000000  0.025956
patient                       0.000000  0.025956
pattern                       0.041877  0.000000
patterns                      0.041877  0.000000
paulo                         0.020939  0.000000
pdf                           0.000000  0.025956
peng                          0.000000  0.025956
pennsylvania                  0.000000  0.025956
per                           0.000000  0.025956
perception                    0.062816  0.000000
perceptual                    0.020939  0.000000
performance                   0.020939  0.000000
phillip                       0.020939  0.000000
photograph                    0.020939  0.000000
pineda                        0.020939  0.000000
planned                       0.000000  0.025956
platforms                     0.041877  0.000000
politehnica                   0.062816  0.000000
portugal                      0.000000  0.025956
portugalanne                  0.000000  0.025956
portugalcarsten               0.000000  0.025956
portugalcontactall            0.000000  0.025956
portugaldimitrios             0.000000  0.025956
portugalheld                  0.000000  0.025956
portugalmariana               0.000000  0.025956
portugalrafael                0.000000  0.025956
portugalshyamasree            0.000000  0.025956
practice                      0.000000  0.025956
pre                           0.041877  0.000000
predict                       0.020939  0.000000
predicted                     0.041877  0.000000
predicting                    0.167508  0.000000
prediction                    0.062816  0.000000
present                       0.000000  0.051912
priberam                      0.000000  0.025956
privacymedia                  0.020939  0.000000
probability                   0.062816  0.000000
problem                       0.020939  0.000000
proc                          0.062816  0.000000
proceedings                   0.029796  0.018468
processing                    0.041877  0.000000
professional                  0.000000  0.025956
professionals                 0.020939  0.000000
programme                     0.000000  0.025956
proposal                      0.000000  0.025956
proposed                      0.000000  0.025956
provide                       0.000000  0.025956
provided                      0.020939  0.000000
providers                     0.000000  0.051912
publications                  0.000000  0.025956
publicly                      0.020939  0.000000
published                     0.000000  0.051912
publishersorganizersmartin    0.000000  0.025956
pubmed                        0.000000  0.025956
push                          0.020939  0.000000
pustejovsky                   0.000000  0.025956
putting                       0.020939  0.000000
quang                         0.020939  0.000000
question                      0.000000  0.025956
questions                     0.000000  0.025956
raju                          0.020939  0.000000
rank                          0.041877  0.000000
ranking                       0.020939  0.000000
rapidly                       0.000000  0.025956
raw                           0.020939  0.000000
reading                       0.020939  0.000000
ready                         0.000000  0.025956
recall                        0.020939  0.000000
recent                        0.020939  0.000000
recognition                   0.062816  0.000000
recommend                     0.020939  0.000000
recommendation                0.020939  0.000000
recommended                   0.020939  0.000000
records                       0.000000  0.025956
recsysmultimedia              0.020939  0.000000
redistribution                0.020939  0.000000
refer                         0.041877  0.000000
references                    0.000000  0.025956
referencesshort               0.000000  0.025956
referencesspringer            0.000000  0.025956
reflect                       0.020939  0.000000
regarded                      0.020939  0.000000
register                      0.000000  0.025956
related                       0.014898  0.129275
release                       0.041877  0.000000
released                      0.020939  0.000000
relevance                     0.020939  0.000000
remembered                    0.062816  0.000000
report                        0.000000  0.025956
reproducibility               0.000000  0.025956
required                      0.020939  0.000000
requires                      0.041877  0.000000
research                      0.014898  0.055404
resources                     0.000000  0.051912
responses                     0.020939  0.000000
results                       0.014898  0.055404
retention                     0.041877  0.000000
retrieval                     0.029796  0.073872
retrieve                      0.020939  0.000000
rinaldi                       0.000000  0.025956
risk                          0.000000  0.025956
robustness                    0.000000  0.025956
romain                        0.041877  0.000000
romaniabogdan                 0.020939  0.000000
romaniaclaire                 0.020939  0.000000
romaniaricardo                0.020939  0.000000
ruas                          0.000000  0.025956
røst                          0.000000  0.025956
saclay                        0.000000  0.051912
saha                          0.000000  0.025956
satelliteno                   0.020939  0.000000
savii                         0.020939  0.000000
scalability                   0.000000  0.025956
scale                         0.020939  0.000000
scheduledevelopment           0.020939  0.000000
school                        0.000000  0.077868
science                       0.000000  0.077868
scienceacknowledgments        0.020939  0.000000
sciences                      0.000000  0.025956
scientific                    0.000000  0.077868
scores                        0.104693  0.000000
search                        0.000000  0.077868
semantic                      0.020939  0.000000
september                     0.041877  0.000000
services                      0.000000  0.025956
session                       0.000000  0.103824
sessionall                    0.000000  0.025956
sessionsubmissionfull         0.000000  0.025956
set                           0.041877  0.000000
shao                          0.020939  0.000000
shared                        0.029796  0.018468
shekhar                       0.020939  0.000000
shetty                        0.020939  0.000000
shizuoka                      0.000000  0.025956
short                         0.029796  0.018468
show                          0.020939  0.000000
sift                          0.020939  0.000000
siirh2020                     0.000000  0.077868
singal                        0.020939  0.000000
singh                         0.020939  0.000000
site                          0.000000  0.077868
sitesiirh2020                 0.000000  0.025956
sjöberg                       0.041877  0.000000
skeppstedt                    0.000000  0.025956
solution                      0.000000  0.025956
solutions                     0.000000  0.051912
sophia                        0.020939  0.000000
soundless                     0.020939  0.000000
sources                       0.000000  0.025956
sousa                         0.000000  0.025956
spainanalia                   0.000000  0.025956
spainanastasios               0.000000  0.025956
spainpedro                    0.000000  0.025956
spainrezarta                  0.000000  0.025956
spearman                      0.041877  0.000000
special                       0.000000  0.051912
specialized                   0.000000  0.051912
specific                      0.000000  0.025956
speech                        0.062816  0.000000
springer                      0.000000  0.051912
squalli                       0.020939  0.000000
standard                      0.020939  0.000000
standards                     0.000000  0.025956
stanford                      0.000000  0.025956
state                         0.020939  0.000000
stockholm                     0.000000  0.051912
strategies                    0.000000  0.077868
structured                    0.000000  0.025956
submission                    0.000000  0.025956
submissions                   0.000000  0.051912
submitted                     0.000000  0.025956
sumit                         0.020939  0.000000
suominen                      0.000000  0.025956
supercomputing                0.000000  0.051912
swedenbruno                   0.000000  0.025956
swedeneben                    0.000000  0.025956
swedenhyeju                   0.000000  0.025956
swedenmarcia                  0.000000  0.025956
switzerland                   0.000000  0.051912
switzerlandhercules           0.000000  0.025956
systems                       0.014898  0.018468
são                           0.020939  0.000000
tags                          0.020939  0.000000
tamang                        0.000000  0.025956
target                        0.020939  0.000000
task                          0.089388  0.055404
tasks                         0.020939  0.000000
tasktask                      0.020939  0.000000
technicolor                   0.062816  0.000000
techniques                    0.020939  0.000000
technologies                  0.000000  0.025956
technology                    0.000000  0.051912
temu                          0.000000  0.051912
term                          0.083754  0.000000
terms                         0.041877  0.000000
tests                         0.041877  0.000000
testset                       0.020939  0.000000
text                          0.000000  0.077868
thanh                         0.020939  0.000000
themes                        0.020939  0.000000
though                        0.020939  0.000000
thus                          0.020939  0.000000
tianming                      0.020939  0.000000
titles                        0.020939  0.000000
toan                          0.020939  0.000000
together                      0.000000  0.025956
togethergamestorylifelogging  0.020939  0.000000
tools                         0.000000  0.025956
topics                        0.000000  0.077868
topicsthere                   0.000000  0.025956
torralba                      0.041877  0.000000
traffic                       0.000000  0.025956
train                         0.020939  0.000000
transactions                  0.041877  0.000000
translation                   0.000000  0.025956
trento                        0.000000  0.051912
trials                        0.000000  0.025956
truth                         0.083754  0.000000
turnspixel                    0.020939  0.000000
two                           0.083754  0.000000
type                          0.000000  0.025956
types                         0.000000  0.051912
ukgraciela                    0.000000  0.025956
uksuzanne                     0.000000  0.025956
understand                    0.041877  0.000000
understanding                 0.104693  0.000000
unit                          0.029796  0.018468
universidade                  0.000000  0.025956
universitat                   0.000000  0.025956
university                    0.059592  0.369358
université                    0.000000  0.103824
updated                       0.000000  0.025956
usa                           0.000000  0.025956
usachih                       0.000000  0.025956
usacyril                      0.000000  0.025956
usaellen                      0.000000  0.025956
usahanna                      0.000000  0.025956
usajin                        0.000000  0.025956
usamaria                      0.000000  0.025956
usasérgio                     0.000000  0.025956
usathierry                    0.000000  0.025956
usayonghui                    0.000000  0.025956
usayoshinobu                  0.000000  0.025956
usazita                       0.000000  0.025956
use                           0.029796  0.055404
used                          0.083754  0.000000
useful                        0.020939  0.000000
usefulness                    0.020939  0.000000
users                         0.020939  0.000000
uses                          0.000000  0.025956
using                         0.029796  0.018468
valencia                      0.000000  0.025956
vast                          0.000000  0.025956
venue                         0.000000  0.051912
via                           0.020939  0.000000
video                         0.230324  0.000000
videomediaeval                0.020939  0.000000
videomem                      0.020939  0.000000
videos                        0.230324  0.000000
viewer                        0.020939  0.000000
viewers                       0.020939  0.000000
vigo                          0.000000  0.025956
villegas                      0.000000  0.025956
villetaneuse                  0.000000  0.025956
vision                        0.041877  0.000000
visual                        0.062816  0.000000
vocabularies                  0.000000  0.025956
vorhees                       0.000000  0.025956
ways                          0.020939  0.000000
web                           0.000000  0.025956
wei                           0.000000  0.025956
well                          0.029796  0.018468
wellbeingmedico               0.020939  0.000000
western                       0.000000  0.025956
work                          0.014898  0.018468
working                       0.020939  0.000000
workshop                      0.029796  0.147743
workshopsearch                0.000000  0.025956
workshopsemantic              0.000000  0.025956
written                       0.000000  0.025956
ws                            0.000000  0.051912
wu                            0.000000  0.025956
www                           0.014898  0.018468
xavier                        0.020939  0.000000
xiao                          0.020939  0.000000
xintao                        0.020939  0.000000
yadati                        0.020939  0.000000
year                          0.020939  0.000000
years                         0.020939  0.000000
zurich                        0.000000  0.025956
ştefan                        0.020939  0.000000
